Terrane,Unit,Age_Ma,age_min,age_max,Rating,S_LONG,S_LAT,P_LONG,P_LAT,A95,Reference,Age_min_Ma,Age_max_Ma,Pole_lon,Pole_lat,A95_deg,Age_err_minus_Ma,Age_err_plus_Ma,Age_range_flag,Ref_lat,Ref_lon,Paleolatitude_64N_28E_deg,Pred_dec_at_ref_deg,Pred_inc_at_ref_deg
Baltica-Karelia,Onega 1975 Ma Intrusions,1976.0,1967,1985,A,34.0,62.1,101.5,44.4,6.3,"Lubnina, N.V., Pisarevsky, S.A., Stepanova, A.V., Bogdanova, S.V., Sokolov, S.J.",1967,1985,101.5,44.4,6.3,9.0,9.0,ok,64.0,28.0,45.87380392146377,79.71351546234041,64.12767286642595
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions B,2000.0,1990,2010,B,27.4,50.9,140.4,64.4,12.7,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",1990,2010,140.4,64.4,12.7,10.0,10.0,ok,64.0,28.0,47.5937405245742,36.32525271172614,65.45557791819445
Baltica-Kola,Kuetsyarvi Formation,2060.0,2052,2068,B,29.5,69.5,300.8,24.7,16.40426774,"Torsvik, T.H. and Meert, J.",2052,2068,300.8,24.7,16.40426774,8.0,8.0,ok,64.0,28.0,23.267940623359166,278.9735268919012,40.69585227923566
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions A-group,2061.0,2041,2081,B,29.8,49.6,182.9,15.7,13.7,"Elming, S.-Ã…., Shumlyanskyy, L., Kravchenko, S., Layer, P., SÃ¶derlund, U.",2041,2081,182.9,15.7,13.7,20.0,20.0,ok,64.0,28.0,-7.9871329447787645,24.354027882296684,-15.675376767423087
Baltica-Karelia,Varpaisjärvi dolerites & basement,2295.0,2290,2300,B,27.8,63.4,262.3,-17.4,9.8,"Mertanen, S., Hölttä, P., Pesonen, L.J., Paavola, J.,",2290,2300,262.3,-17.4,9.8,5.0,5.0,ok,64.0,28.0,-30.85572545050428,295.4863304832984,-50.073833110070225
Baltica-Karelia,Taivalkoski 2.3 Ga dyke,2339.0,2321,2357,C+,28.1,65.5,257.3,20.4,6.3,"Salminen, J., Halls, H.C., Mertanen, S., Pesonen, L.J., Vuollo, J., SÃ¶derlund, U.",2321,2357,257.3,20.4,6.3,18.0,18.0,ok,64.0,28.0,2.5999431413977447,314.65775700502354,5.189222954927768
Baltica-Karelia,Kivakka intrusion,2443.0,2438,2448,B,30.6,65.0,253.7,-16.6,7.6,"Lubnina, N., Bychkov, A.V., Tarasov, N.A., Osadchii, V.O., Miklyaeva, E.P.",2438,2448,253.7,-16.6,7.6,5.0,5.0,ok,64.0,28.0,-33.37935846433284,304.77991301000316,-52.80569857324302
Baltica-Karelia,Karelian Dykes,2446.0,2441,2451,B,30.700001,66.0,278.700012,-19.9,6.1,"Mertanen,S., Halls,H.C., Vuollo,J.I., Pesonen,L.J., Stepanov,V.S.",2441,2451,278.700012,-19.9,6.1,5.0,5.0,ok,64.0,28.0,-26.242256411960255,278.3410330941796,-44.59479684877332
Baltica-Karelia,Mean D Burakovskaya intrusion and remagnetized Avdeev/Shalskiy dykes,2449.0,2448,2450,B,36.05,61.94,68.5,14.3,9.279547403,"Sherbakova et al 2017; Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",2448,2450,68.5,14.3,9.279547403,1.0,1.0,ok,64.0,28.0,33.02555064791223,131.35745457253722,52.43318800652726
Baltica-Karelia,Mean D' Shalskiy-Deda-Gorelyi-Glubokaya dyke,2511.0,2448,2512,B,36.05,61.94,221.9,26.2,4.949747468,"Sherbakova et al 2017; Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",2448,2512,221.9,26.2,4.949747468,63.0,1.0,ok,64.0,28.0,0.8599732743229822,347.5509769073457,1.7195592517835696
